,name_en,name_ua,vehicle_type,operator,info_link
0,"T-64BM ""Bulat""","Т-64БМ ""Булат""",Основний бойовий танк,🇺🇦,https://cutt.ly/VFBUSIC
1,T-64BV,Т-64БВ,Основний бойовий танк,🇺🇦,https://cutt.ly/TFBUDYM
2,T-72AV,Т-72АВ,Основний бойовий танк,🇺🇦 / 🇷🇺,https://cutt.ly/TFBIEnj
3,T-72B1,Т-72Б1,Основний бойовий танк,🇺🇦 / 🇷🇺,https://cutt.ly/WFBIYW0
4,T-72B3,Т-72Б3,Основний бойовий танк,🇷🇺,https://cutt.ly/EFBIU3p
5,T-72BA,Т-72БА,Основний бойовий танк,🇷🇺,https://cutt.ly/3FBIDPS
6,T-80BV,Т-80БВ,Основний бойовий танк,🇺🇦 / 🇷🇺,https://cutt.ly/FFBO9AZ
7,T-80BVM,Т-80БВМ,Основний бойовий танк,🇷🇺,https://cutt.ly/RFBPelv
8,T-80U,Т-80У,Основний бойовий танк,🇷🇺,https://cutt.ly/uFBPp60
9,T-90,Т-90,Основний бойовий танк,🇷🇺,https://cutt.ly/PFBPxPQ
